Temp(K),eta (mPa.s)
239.15,14.22
240.15,12.68
241.15,11.39
242.15,10.29
243.15,9.354
244.15,8.545
245.15,7.842
246.15,7.226
247.15,6.684
248.15,6.203
249.15,5.775
250.15,5.392
251.15,5.048
252.15,4.738
253.15,4.456
254.15,4.201
255.15,3.967
256.15,3.754
257.15,3.558
258.15,3.379
259.15,3.213
260.15,3.059
261.15,2.917
262.15,2.785
263.15,2.663
264.15,2.548
265.15,2.442
266.15,2.342
267.15,2.248
268.15,2.161
269.15,2.078
270.15,2.001
271.15,1.928
272.15,1.859
273.15,1.794
274.15,1.732
275.15,1.674
276.15,1.619
277.15,1.567
278.15,1.517
279.15,1.470
280.15,1.425
281.15,1.382
282.15,1.341
283.15,1.302
284.15,1.265
285.15,1.229
286.15,1.195
287.15,1.163
288.15,1.132
289.15,1.102
290.15,1.073
291.15,1.046
292.15,1.020
293.15,0.994
